"","ds","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","type","solID","cluster","top_sol"
"21059",2018-10-13,802779.93910661,124975.203461282,8318.39347169456,1525.26645218809,309997.407546004,"adstockedMedia","1_110_13",1,FALSE
"21060",2018-10-20,978406.499119743,108971.552316671,7854.60187730567,2358.27575966045,304710.509461516,"adstockedMedia","1_110_13",1,FALSE
"21061",2018-10-27,953784.930503505,117302.526903093,6474.86770568858,1649.00089605349,319398.383225925,"adstockedMedia","1_110_13",1,FALSE
"21062",2018-11-03,867269.575320237,174296.615221858,6729.24369506017,1909.49468423822,315369.368218447,"adstockedMedia","1_110_13",1,FALSE
"21063",2018-11-10,1250796.6164971,198095.799064482,6563.59035348075,4590.42928782529,603429.00122015,"adstockedMedia","1_110_13",1,FALSE
"21064",2018-11-17,1889751.8916755,287786.402572349,6213.89659053063,4132.50847528109,636049.409514559,"adstockedMedia","1_110_13",1,FALSE
"21065",2018-11-24,2219459.80886792,750095.453033274,6329.43615465602,2289.88657556785,650759.471202408,"adstockedMedia","1_110_13",1,FALSE
"21066",2018-12-01,1759663.50185793,142617.564083586,7152.02924765949,1774.14196348653,784284.951781454,"adstockedMedia","1_110_13",1,FALSE
"21067",2018-12-08,1033740.26865481,71841.8045482229,6831.24130369945,1835.87525074683,541312.81610352,"adstockedMedia","1_110_13",1,FALSE
"21068",2018-12-15,741197.253628426,147632.3604899,6350.18377681411,3192.96932195345,433770.231002366,"adstockedMedia","1_110_13",1,FALSE
"21069",2018-12-22,605214.848950286,63816.6060362772,6466.62503982395,3914.91957833009,409144.026789597,"adstockedMedia","1_110_13",1,FALSE
"21070",2018-12-29,591867.754991404,48175.8453424397,6640.4178675554,4090.88238095513,546469.117661132,"adstockedMedia","1_110_13",1,FALSE
"21071",2019-01-05,551268.919774911,20497.6208698024,7771.91460273989,3941.10311934339,565868.565980725,"adstockedMedia","1_110_13",1,FALSE
"21072",2019-01-12,524535.95326401,41546.6308556326,9310.55170177957,3060.89125854181,447483.848477726,"adstockedMedia","1_110_13",1,FALSE
"21073",2019-01-19,545794.818073463,86231.114748236,11108.3741955495,2319.74184799599,522251.985148259,"adstockedMedia","1_110_13",1,FALSE
"21074",2019-01-26,534110.716919703,277919.682928132,14389.6086759639,3785.57277752378,449021.292294882,"adstockedMedia","1_110_13",1,FALSE
"21075",2019-02-02,607580.655501364,206627.351290016,13442.4327717542,2832.01851324306,423425.459250781,"adstockedMedia","1_110_13",1,FALSE
"21076",2019-02-09,531714.189498372,119354.802645016,12663.6244589863,2945.44097168664,421764.946609826,"adstockedMedia","1_110_13",1,FALSE
"21077",2019-02-16,442699.930686957,126168.732342665,11859.1111408738,4177.47489604637,521294.530512932,"adstockedMedia","1_110_13",1,FALSE
"21078",2019-02-23,437753.619894907,45396.2092285419,11017.9039239014,3571.05388489111,378511.108570083,"adstockedMedia","1_110_13",1,FALSE
"21079",2019-03-02,565674.812748317,23705.8679137401,11327.5686654804,3295.3671077042,469154.685357418,"adstockedMedia","1_110_13",1,FALSE
"21080",2019-03-09,609133.515065589,36542.5975249368,11234.1622991081,2565.68660412369,455213.071047778,"adstockedMedia","1_110_13",1,FALSE
"21081",2019-03-16,648566.242835519,68081.544630605,13565.4719162096,4517.83548133068,422034.91493779,"adstockedMedia","1_110_13",1,FALSE
"21082",2019-03-23,728472.524600799,80537.5273749047,12379.8787791055,6199.16636917777,417198.610729674,"adstockedMedia","1_110_13",1,FALSE
"21083",2019-03-30,587412.964595142,110254.289685918,11426.2588215882,8236.37624944833,497076.566627714,"adstockedMedia","1_110_13",1,FALSE
"21084",2019-04-06,590643.753896647,59417.1015015378,11007.0230908024,9385.48190937414,437387.101541626,"adstockedMedia","1_110_13",1,FALSE
"21085",2019-04-13,669748.611899526,89377.2705886273,9870.15845928333,8525.53120947163,418521.023794994,"adstockedMedia","1_110_13",1,FALSE
"21086",2019-04-20,727066.780371421,127483.314842524,9486.33232105033,9694.71010711295,445632.072693823,"adstockedMedia","1_110_13",1,FALSE
"21087",2019-04-27,663524.611674846,112161.468391661,10455.311245133,7274.06612023384,512049.757153928,"adstockedMedia","1_110_13",1,FALSE
"21088",2019-05-04,740377.177061084,90939.0995173707,8694.94913052034,7642.89818894612,394070.085033058,"adstockedMedia","1_110_13",1,FALSE
"21089",2019-05-11,686479.54379805,114054.888983718,9466.0124741022,9971.28246937,319013.701959357,"adstockedMedia","1_110_13",1,FALSE
"21090",2019-05-18,602545.775163733,172307.801779397,7971.81020917449,11900.8483906864,355991.061942958,"adstockedMedia","1_110_13",1,FALSE
"21091",2019-05-25,744764.481050916,204060.046172602,8853.83044633943,11487.5841616322,352316.477892159,"adstockedMedia","1_110_13",1,FALSE
"21092",2019-06-01,761352.497853121,71269.6141010506,8079.20617007165,13508.0939663394,313973.556973026,"adstockedMedia","1_110_13",1,FALSE
"21093",2019-06-08,738161.925701313,150517.06029331,10084.6196551377,19270.2805396515,289767.792338258,"adstockedMedia","1_110_13",1,FALSE
"21094",2019-06-15,594357.737984621,165686.617513155,8991.83747976098,19350.441323096,304802.873787455,"adstockedMedia","1_110_13",1,FALSE
