"","ds","dep_var","trend","season","holiday","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","intercept","depVarHat","solID","cluster","top_sol"
"3122",2019-05-11,77122,10351.6661243763,-844.770786939682,0,2593.87138168467,72.5277652916425,0,10.3469534316193,2853.46161213094,74917.2514606195,89954.354510595,"1_133_10",3,FALSE
"3123",2019-05-18,65836,10389.0810668479,-1224.32866313027,0,2272.96520944704,247.038874421913,0,12.5932554419065,3113.9258076439,74917.2514606195,89728.5270112919,"1_133_10",3,FALSE
"3124",2019-05-25,87411,10434.3985228127,-1356.45993660977,0,2838.11636422486,405.882464054164,0,12.2644635100567,3086.817372181,74917.2514606195,90338.2707107925,"1_133_10",3,FALSE
"3125",2019-06-01,71105,10479.7159787774,-1123.68802634958,0,2880.01165579007,17.663679446638,0,14.428227809718,2826.23357087776,74917.2514606195,90011.6165469715,"1_133_10",3,FALSE
"3126",2019-06-08,61429,10525.0334347422,-815.778181737501,0,2785.33718162914,165.697303338397,0,20.2114781200446,2657.99205781389,74917.2514606195,90255.7447345256,"1_133_10",3,FALSE
"3127",2019-06-15,100718,10570.3508907069,-788.697575818777,0,2229.99366209524,219.820233774154,0,20.552079387997,2770.00925476669,74917.2514606195,89939.2800055317,"1_133_10",3,FALSE
"3128",2019-06-22,83203,10623.5569519515,-1037.40183760125,0,1654.53070638799,159.708575319501,0,20.0682552986855,3144.19500178855,74917.2514606195,89481.9091137645,"1_133_10",3,FALSE
"3129",2019-06-29,70026,10676.7630131961,-1194.36167691546,0,2270.88690851105,45.7483358698128,0,19.8322545847956,3248.95158969701,74917.2514606195,89985.0718855629,"1_133_10",3,FALSE
"3130",2019-07-06,64059,10729.9690744408,-975.095122952013,0,2913.99929090259,31.5253647893596,0,19.6138626088295,3125.18018078939,74917.2514606195,90762.4441111984,"1_133_10",3,FALSE
"3131",2019-07-13,97488,10790.8148740771,-552.740943938469,0,3343.55843810471,403.631893949843,0,28.5735227028618,2303.35632858235,74917.2514606195,91234.4455740979,"1_133_10",3,FALSE
"3132",2019-07-20,80835,10851.6606737134,-400.138178566105,0,3015.79421999733,81.6688079256903,0,34.4077433934694,3629.18352615892,74917.2514606195,92129.8282532422,"1_133_10",3,FALSE
"3133",2019-07-27,67987,10912.5064733498,-747.925936034808,0,2891.90990269212,220.477816035377,0,32.1727772200674,2857.52652271363,74917.2514606195,91083.9190165957,"1_133_10",3,FALSE
"3134",2019-08-03,65743,10973.3522729861,-1271.86369464432,0,1719.41533121682,14.7164015042269,0,35.6450082663603,2340.66429310169,74917.2514606195,88729.1810730504,"1_133_10",3,FALSE
"3135",2019-08-10,51781,11038.5941082259,-1392.27845484794,0,1685.55465800177,34.039981389511,0,37.4618454200972,2609.12687246331,74917.2514606195,88929.7504712721,"1_133_10",3,FALSE
"3136",2019-08-17,88469,11103.8359434657,-887.115381584556,0,1974.40309729087,87.3233184238515,0,35.8551463120838,2805.23797601765,74917.2514606195,90036.7915605451,"1_133_10",3,FALSE
"3137",2019-08-24,114522,11169.0777787055,-153.751616629117,0,2330.68982519881,32.3499097528023,0,28.8338169926318,2817.92349246282,74917.2514606195,91142.3746671029,"1_133_10",3,FALSE
"3138",2019-08-31,89866,11235.1197495022,179.313290620076,0,1913.36831213241,33.6866884579031,0,19.7504347569676,2975.61414681781,74917.2514606195,91274.1040829068,"1_133_10",3,FALSE
