"","Affiliate_Impressions_alphas","Affiliate_Impressions_gammas","Affiliate_Impressions_thetas","Email_Impressions_alphas","Email_Impressions_gammas","Email_Impressions_thetas","Facebook_Impressions_alphas","Facebook_Impressions_gammas","Facebook_Impressions_thetas","Google_Impressions_alphas","Google_Impressions_gammas","Google_Impressions_thetas","Organic_Views_alphas","Organic_Views_gammas","Organic_Views_thetas","train_size","Google_Impressions_inflexion","Facebook_Impressions_inflexion","Affiliate_Impressions_inflexion","Organic_Views_inflexion","Email_Impressions_inflexion","Google_Impressions_inflation","Facebook_Impressions_inflation","Affiliate_Impressions_inflation","Organic_Views_inflation","Email_Impressions_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"21",2.03604569675,0.340619897073,0.26525408211,2.3441000545,0.88781429644,0.2085624825,2.953614458,0.49255423068,0.06064239297,1.1038374795,0.95289354935,0.22971863922,2.129423653,0.91313974582,0.06108646971,0.63593676983,2649160.56580441,579949.57913031,6954.44705337832,38439.6179965817,963748.202908241,1.29519159778268,1.06396751028468,1.35727970082297,1.06335533665613,1.26109888408808,0.163291334087497,-0.103562652497261,-0.347532188629145,0.145453981268278,0.212006537075301,0.295853120990873,0.212006537075301,0.0618164394365319,0,610498.95579838,0.1078733577,5654727.87225015,1e-04,0,0.363396883010864,59.8970239162445,"1_98_15",1,98,15,1470,TRUE,TRUE,2,0.0286509965401605,1,FALSE
"22",2.668526734,0.48686319176,0.19647625674,2.1120824625,0.663396453,0.11120687415,2.92302524225,0.57730216416,0.05138224317,1.1375339835,0.93393208858,0.26719624281,2.705234732,0.72360017448,0.09802725981,0.63926246951,2693786.37061343,676411.043286824,9435.57536144259,31591.2778255815,688917.40096156,1.36071056566853,1.05367936341993,1.24219256799495,1.10570027486211,1.12412394580462,0.107427047279136,-0.119019682154256,-0.463416716385518,0.150231270702622,0.213486106997405,0.308312112422644,0.213486106997405,0.0396967084962678,0,791412.543945992,0.1398698897,5654727.87225015,1e-04,0,0.306070804595947,60.2690086364746,"1_99_1",1,99,1,1471,TRUE,TRUE,3,0.0271923555781095,1,FALSE
"23",2.508072018,0.52492179227,0.20596148577,1.444845023,0.7413465539,0.06136094016,2.993630497,0.6759419811,0.018433452987,1.08662424125,0.9932632196,0.25535137344,1.7123203655,0.76469280186,0.09678480132,0.63485631032,2831598.8876199,778500.929133991,10244.6487603184,33343.7790867669,755177.666345644,1.33929857047914,1.01862156723811,1.25688978193686,1.10422154614145,1.06488650036334,0.0533364806666243,-0.133037820411299,-0.582165830125038,0.154716381699041,0.214819132511942,0.320577163194566,0.214819132511942,0.0196410646950847,0,1058017.83444113,0.1870219295,5654727.87225015,1e-04,0,0.359709024429321,62.0226900577545,"1_101_14",1,101,14,1514,TRUE,TRUE,2,0.0279653128966653,3,FALSE
"24",2.078573768,0.60695396473,0.23752277097,0.8686394015,0.91779463697,0.11302457799,2.993928415,0.56740299551,0.018433452987,1.08662424125,0.9932632196,0.25535137344,1.7123203655,0.76469280186,0.09678480132,0.63900598706,2831598.8876199,653493.600854769,12130.1544195364,33343.7790867669,953810.584148044,1.33929857047914,1.01862156723811,1.30840156647724,1.10422154614145,1.12640867864524,0.0900547904774075,-0.124160429242301,-0.503428693483526,0.151686210221228,0.213975919884937,0.312498544124513,0.213975919884937,0.0247464527761976,0,847965.866402626,0.1498719587,5654727.87225015,1e-04,0,0.24116039276123,63.3933398723602,"1_103_14",1,103,14,1544,TRUE,TRUE,2,0.0269034004446273,3,FALSE
"25",2.58178531175,0.74408869988,0.20809537755,2.66334816025,0.74247536774,0.22960193775,2.97021509825,0.64234327848,0.014713483452,1.020315171,0.92880060733,0.22368557124,1.91490118775,0.7083932447,0.15821738544,0.64111130597,2567065.02067855,738390.446850974,14545.0441648027,32908.7855996107,814828.428325335,1.2852291241843,1.01480842109091,1.26024428963554,1.18238716028186,1.29519651524209,0.0389459445271099,-0.131495769349777,-0.612635610027841,0.155887893060628,0.214672899591443,0.323649323706786,0.214672899591443,0.0197483892691623,0,1164075.76812115,0.2057794264,5654727.87225015,1e-04,0,0.236231803894043,63.7865285873413,"1_104_6",1,104,6,1551,TRUE,TRUE,1,0.0283928373677941,1,FALSE
"26",2.80401191875,0.42921458683,0.1640806428,2.34558386825,0.64320631086,0.03470205471,2.9778055705,0.62213749834,0.024332744685,1.18200777025,0.9236236741,0.28682352765,1.46533625175,0.49203121056,0.12888650703,0.63610368812,2716598.80698013,718717.547769268,8125.72313455477,22166.2608739672,649023.188334301,1.3977376548054,1.0247272717265,1.19448940279312,1.14373690274814,1.03569218163745,0.078698330448028,-0.128272841568758,-0.528966211636499,0.152629825789139,0.214366946774746,0.31514144723884,0.214366946774746,0.022424204487821,0,934683.650521184,0.1652089402,5654727.87225015,1e-04,0,0.22851300239563,64.3381915092468,"1_105_4",1,105,4,1564,TRUE,TRUE,2,0.0272278734712123,3,FALSE
"27",2.799420219,0.49263035589,0.0766318614,0.85765397825,0.92468492394,0.10147195893,2.99315020125,0.59535542967,0.020966991627,1.16665405175,0.91366847997,0.29014862412,1.72362081925,0.75060440138,0.0603878634,0.63540163589,2696277.05009346,686583.182608819,8791.88438829337,31576.0935134416,956492.794434365,1.4042108406145,1.02123488440724,1.08230070449865,1.06258563173159,1.11204356623078,0.0544168004982644,-0.126285632793853,-0.578876152584232,0.154628076358951,0.214178083052912,0.32024371387164,0.214178083052912,0.0228857731445747,0,1064430.98163404,0.1881561642,5654727.87225015,1e-04,0,0.234478235244751,64.897020816803,"1_106_1",1,106,1,1576,TRUE,TRUE,2,0.0279436378250902,3,FALSE
"28",1.932878829,0.4126282913,0.2981033532,1.78364439725,0.88009648515,0.20193226209,2.92448159875,0.50779194044,0.027014683083,1.17836886575,0.79824075245,0.27600860691,2.33586650525,0.69664949485,0.0397764306,0.63584344763,2322630.32184589,587436.088147941,8645.58164133395,28730.7367485406,952189.883649554,1.37708981389425,1.02752713129321,1.4201258702072,1.04036549377875,1.25072190856299,0.136609461544424,-0.112711139221137,-0.406821580811562,0.147754978135994,0.212883485877186,0.302291608828513,0.212883485877186,0.0485291968928228,0,684812.884966477,0.1210165828,5654727.87225015,1e-04,0,0.269312143325806,65.7137002944946,"1_107_11",1,107,11,1601,TRUE,TRUE,2,0.0273754077605929,1,FALSE
"29",2.4010525265,0.55148887078,0.20566451574,1.64051581325,0.64067394942,0.08817588144,2.97364119075,0.48677097061,0.014092339284,1.2817843955,0.85162567747,0.27967612044,2.487297423,0.98003544329,0.020982407217,0.64079455385,2487027.46862167,559377.565467511,10760.7762550783,39704.4168655691,659253.850317049,1.38402318562534,1.01417447707526,1.25642435671731,1.02089629525861,1.09595668467072,0.204513114444646,-0.114827171470336,-0.272648176107489,0.141825718218615,0.213085808989684,0.287515167820201,0.213085808989684,0.0514259880903323,0,514834.583673614,0.09095407499,5654727.87225015,1e-04,0,0.27194881439209,66.3492300510406,"1_108_11",1,108,11,1616,TRUE,TRUE,3,0.0258989211146586,1,FALSE
"30",2.7491067805,0.45540468034,0.25357069443,2.5732860005,0.79896521591,0.19663697667,2.93128491225,0.45797551182,0.06130895943,1.10911341,0.90504688489,0.21125490498,2.129289035,0.81831566409,0.00313945449,0.63794629676,2471445.59304121,539426.444176159,9214.14581428458,32604.0952596507,862144.496919449,1.26517756730036,1.06471577405239,1.33624845634831,1.00307220723745,1.24255588440832,0.157293477963608,-0.0937130924418983,-0.361788848153864,0.14597438593151,0.211058312078572,0.297414040935426,0.211058312078572,0.0778762164787259,0,625903.439113013,0.1105978078,5654727.87225015,1e-04,0,0.24911904335022,66.7441008090973,"1_109_2",1,109,2,1622,TRUE,TRUE,3,0.0320914396496793,1,FALSE
"31",1.91903413375,0.327852802264,0.11646001806,0.5813332882,0.65686893004,0.03651679527,2.947843645,0.70160992795,0.015308126745,1.1327011745,0.82884060355,0.26917123257,2.870594124,0.85038961201,0.19140516654,0.63771259553,2395348.63620321,806765.412309702,6005.60286902592,40948.2906638788,663226.033357768,1.36434747562506,1.01541605538225,1.13066551321347,1.22938224577472,1.03762875919605,0.0137443525221803,-0.13459280487265,-0.666557845941994,0.157918580287402,0.21496649117734,0.329015817563489,0.21496649117734,0.0195300088208164,0,1390127.05092871,0.2457590497,5654727.87225015,1e-04,0,0.264496326446533,66.8020913600922,"1_109_5",1,109,5,1625,TRUE,TRUE,2,0.0291394056319857,3,FALSE
