"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","Affiliate_Impressions_thetas","Email_Impressions_thetas","Facebook_Impressions_thetas","Google_Impressions_thetas","Organic_Views_thetas","Affiliate_Impressions_alphas","Email_Impressions_alphas","Facebook_Impressions_alphas","Google_Impressions_alphas","Organic_Views_alphas","Affiliate_Impressions_gammas","Email_Impressions_gammas","Facebook_Impressions_gammas","Google_Impressions_gammas","Organic_Views_gammas","cluster","n","top_sol"
"21","1_98_15",0,0.0618164394365319,0.212006537075301,0.295853120990873,0.145453981268278,0.212006537075301,0.880272707072027,0.703726728439774,0.290140300406768,0.560232756618134,0.229469295173629,0.58365940621678,0.737719591229665,0.79171914431263,0.32713462210896,0.494565613886859,0.0301354632940791,0.807442425538666,0.287631097171842,0.913844760510918,0.874178445555426,1,64,FALSE
"22","1_99_1",0,0.0396967084962678,0.213486106997405,0.308312112422644,0.150231270702622,0.213486106997405,0.635895986679844,0.360889490642054,0.245266445882413,0.802631506227689,0.370092060962635,0.863031906224757,0.641461056958279,0.651070953426596,0.388876297639763,0.839605949490757,0.247520734998252,0.419837204692614,0.416923370640959,0.873378014471491,0.581408520857917,1,64,FALSE
"23","1_101_14",0,0.0196410646950847,0.214819132511942,0.320577163194566,0.154716381699041,0.214819132511942,0.66959826135995,0.185357309042995,0.0855995669054195,0.726020910844194,0.365362385480089,0.792157630939138,0.364640246158458,0.975711553198594,0.295595024681705,0.244626938600465,0.304093443034228,0.554469396193886,0.567409236939513,1,0.644881733014151,3,54,FALSE
"24","1_103_14",0,0.0247464527761976,0.213975919884937,0.312498544124513,0.151686210221228,0.213975919884937,0.781739686696474,0.367290524688285,0.0855995669054195,0.726020910844194,0.365362385480089,0.602444433570784,0.125586353363456,0.977081370197986,0.295595024681705,0.244626938600465,0.426031246315173,0.859223230193253,0.401821102448015,1,0.644881733014151,3,54,FALSE
"25","1_104_6",0,0.0197483892691623,0.214672899591443,0.323649323706786,0.155887893060628,0.214672899591443,0.677180261402303,0.777817054050469,0.0675729285298047,0.521211901638718,0.599218236021849,0.824717448460782,0.870167973542034,0.868048332932394,0.17409775896759,0.366018411333926,0.629876979717626,0.556419036788593,0.516150728690722,0.862426624646168,0.557919327255255,1,64,FALSE
"26","1_105_4",0,0.022424204487821,0.214366946774746,0.31514144723884,0.152629825789139,0.214366946774746,0.520790080856866,0.091478190979389,0.114187004816282,0.929577437869808,0.487564174647693,0.922876917455803,0.738335189967138,0.902949070455653,0.470365051225139,0.0966279080067316,0.161828206852628,0.38496562593074,0.485324593536238,0.851378233131262,0.223718421371916,3,54,FALSE
"27","1_106_1",0,0.0228857731445747,0.214178083052912,0.32024371387164,0.154628076358951,0.214178083052912,0.21007298147404,0.326608040391943,0.0978768676854988,0.951083594866308,0.226809905614177,0.920848722833525,0.121028764728557,0.973503169404783,0.442232628175605,0.251398451856423,0.256093412084376,0.871123848975438,0.444465608492461,0.830132279693472,0.623120261684035,3,54,FALSE
"28","1_107_11",0,0.0485291968928228,0.212883485877186,0.302291608828513,0.147754978135994,0.212883485877186,0.996990516817572,0.680378443837797,0.127183437499815,0.859628374605743,0.14834821924082,0.538089683072784,0.505199980858952,0.657767231902127,0.46369753281057,0.61827131115665,0.137173289387374,0.794112540964187,0.310877895724138,0.58379131513813,0.539779491151672,1,64,FALSE
"29","1_108_11",0,0.0514259880903323,0.213085808989684,0.287515167820201,0.141825718218615,0.213085808989684,0.668543087521642,0.279785976851153,0.0645629196600256,0.883349226759837,0.0768048780922857,0.74488616961607,0.445819364115982,0.883801391653201,0.653184492130463,0.709012487536944,0.343584426826976,0.380591835949661,0.27880809923184,0.697723159805719,0.977508046716902,1,64,FALSE
"30","1_109_2",0,0.0778762164787259,0.211058312078572,0.297414040935426,0.14597438593151,0.211058312078572,0.8387600836509,0.661731125439695,0.293370421625417,0.440812471856562,0.00888198430682733,0.898624829515144,0.832803343489109,0.689048639821371,0.336801642434097,0.494484947429418,0.200758816326479,0.653985967028464,0.234877466593771,0.811732436833837,0.727709615477706,1,64,FALSE
"31","1_109_5",0,0.0195300088208164,0.21496649117734,0.329015817563489,0.157918580287402,0.21496649117734,0.351587695722076,0.0978687898514455,0.0704545165386688,0.815405403234365,0.72555439602407,0.5319743580337,0.00638993763017554,0.765185139157835,0.380021203200876,0.93869341444545,0.0111576470470678,0.408563136910366,0.606568506873855,0.649096220616043,0.777252237374036,3,54,FALSE
"32","1_110_13",0,0.0195627678315894,0.214981802196863,0.324193169932975,0.156118559638619,0.214981802196863,0.72484185873978,0.48791273526393,0.100443703940129,0.819854632064225,0.434378154719437,0.674106229767854,0.887831267037646,0.850685373239163,0.270147626245243,0.208808824850881,0.568753129869606,0.250615836441678,0.597331163364715,0.875545787573691,0.593266687546577,1,64,FALSE
"33","1_111_2",0,0.0779635506828535,0.210977216637184,0.297670031784418,0.146102247886485,0.210977216637184,0.773005185483909,0.661731125439695,0.293370421625417,0.440812471856562,0.00888198430682733,0.635449034943798,0.618376838063136,0.689048639821371,0.336801642434097,0.494484947429418,0.434442604272054,0.831660307779101,0.234877466593771,0.811732436833837,0.727709615477706,1,64,FALSE
"34","1_113_7",0,0.0311226377582111,0.213675157163825,0.317851117269737,0.153820476521009,0.213675157163825,0.377263065880024,0.0653056673081787,0.156969749474429,0.875770243570207,0.279519572647732,0.717085934942747,0.322554939916081,0.916067850684281,0.300215520454694,0.589823570334358,0.492122089723064,0.332878093356926,0.381869345869449,0.998485524643832,0.946851345909008,3,54,FALSE
