"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"536","Google_Impressions",18362.5453851587,373383.037209906,0.035629084815888,3304.27466557439,0.035629084815888,373383.037209906,0.035629084815888,3304.27466557439,0.035629084815888,TRUE,0.743363900415277,0.743363900415277,490276.628318584,55401259,NA,NA,0.729605291028333,0.729605291028333,0.63514245029,0.0928940384428055,-0.116394816919968,-0.497327744561293,0.151449376598386,0.213235574647941,0.311863836342106,0.213235574647941,0.0420309038057792,0,854666.128569679,0.1510569728,5654727.87225015,1e-04,"1_124_7",1,124,7,1852,2,3304.27466557439,654726.065668105,164449.437349521,0.00673961285265929,0.00673961285265929,148.376475305317,148.376475305317,1,FALSE,0.00782942360134586,0.00074135540919751,0,0.019703727690251,0.262555820372644
"537","Facebook_Impressions",20511.3982754664,138377.282789482,0.0132042847525687,1224.57772380072,0.0132042847525687,138377.282789482,0.0132042847525687,1224.57772380072,0.0132042847525687,TRUE,0.244677122195661,0.244677122195661,161373.82300885,18235242,NA,NA,0.270394708971667,0.270394708971667,0.63514245029,0.0928940384428055,-0.116394816919968,-0.497327744561293,0.151449376598386,0.213235574647941,0.311863836342106,0.213235574647941,0.0420309038057792,0,854666.128569679,0.1510569728,5654727.87225015,1e-04,"1_124_7",1,124,7,1852,2,1224.57772380072,166570.863220551,5197.04021170172,0.00758845332513173,0.00758845332513173,131.77915935625,131.77915935625,1,FALSE,0.00891222269670811,0.000954082668229271,0,0.0241936972477182,0.000109621358764484
"538","Affiliate_Impressions",0,0,0,0,0,0,0,0,0,TRUE,0.0119589773890613,0.0119589773890613,7887.3982300885,891276,NA,NA,0,0,0.63514245029,0.0928940384428055,-0.116394816919968,-0.497327744561293,0.151449376598386,0.213235574647941,0.311863836342106,0.213235574647941,0.0420309038057792,0,854666.128569679,0.1510569728,5654727.87225015,1e-04,"1_124_7",1,124,7,1852,2,0,9741.67811329425,1854.27988320575,0,0,Inf,Inf,1,FALSE,0,0,0,0,NA
"539","Organic_Views",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,8051.88495575221,8051.88495575221,NA,NA,0.63514245029,0.0928940384428055,-0.116394816919968,-0.497327744561293,0.151449376598386,0.213235574647941,0.311863836342106,0.213235574647941,0.0420309038057792,0,854666.128569679,0.1510569728,5654727.87225015,1e-04,"1_124_7",1,124,7,1852,2,0,8769.14200511928,717.257049367064,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"540","Email_Impressions",11562.8146799989,275705.238833323,0.0263084402868972,2439.8693702064,0.0263084402868972,275705.238833323,0.0263084402868972,2439.8693702064,0.0263084402868972,TRUE,NA,NA,NA,NA,389433.016085841,389433.016085841,NA,NA,0.63514245029,0.0928940384428055,-0.116394816919968,-0.497327744561293,0.151449376598386,0.213235574647941,0.311863836342106,0.213235574647941,0.0420309038057792,0,854666.128569679,0.1510569728,5654727.87225015,1e-04,"1_124_7",1,124,7,1852,2,2439.8693702064,469528.329288574,80095.3132027335,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,0.0283754393026406
"541","(Intercept)",76216.6272590774,8612478.88027574,0.826524044629981,76216.6272590774,0.826524044629981,8612478.88027574,0.826524044629981,76216.6272590774,0.826524044629981,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"542","trend",0.104232705498736,1248173.19351749,0.119784927271922,11045.7804736061,0.119784927271922,1248173.19351749,0.119784927271922,11045.7804736061,0.119784927271922,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"543","season",0.034599452748469,-9879.59183428567,-0.000948126586512533,-87.4300162326166,-0.000948126586512533,-9879.59183428567,-0.000948126586512533,-87.4300162326166,-0.000948126586512533,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"544","holiday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"545","Google_Impressions",14247.2734800738,295330.903349393,0.0283423734483226,2613.54781725126,0.0283423734483226,295330.903349393,0.0283423734483226,2613.54781725126,0.0283423734483226,TRUE,0.743363900415277,0.743363900415277,490276.628318584,55401259,NA,NA,0.740455938005313,0.740455938005313,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,2613.54781725126,682835.424042178,192558.795723594,0.00533076158701363,0.00533076158701363,187.590456574933,187.590456574933,1,FALSE,0.00782942360134586,0.00074135540919751,0,0.019703727690251,0.316549943674759
